Year,Region,Mission Type,Diplomatic Missions,International Agreements,Agreement Type,Foreign Visits by Officials,Official Rank,Foreign Delegations to Ukraine,Trade Agreements Signed,Budget Spent (mln USD)
2007,South America,Consulate,109,139,Cultural Exchange,47,Deputy Minister,25,39,23.5
2001,Asia,Embassy,93,156,Security Pact,76,Deputy Minister,17,14,96.23
2016,Europe,Embassy,103,112,Cultural Exchange,45,Minister,56,28,58.11
2023,Asia,Delegation,99,112,Cultural Exchange,46,Ambassador,14,25,32.54
2010,South America,Permanent Mission,96,153,Cultural Exchange,78,Deputy Minister,32,14,54.49
2015,South America,Delegation,88,120,Political Agreement,38,Ambassador,25,32,61.08
2000,Europe,Consulate,93,115,Political Agreement,22,Consul,62,31,88.73
2015,Asia,Consulate,103,148,Cultural Exchange,31,Deputy Minister,14,31,28.17
2009,Africa,Delegation,96,105,Security Pact,59,Minister,21,7,74.85
2006,North America,Permanent Mission,84,101,Security Pact,46,Deputy Minister,15,10,72.68
2012,Europe,Embassy,98,111,Cultural Exchange,31,Consul,46,8,31.63
2021,Europe,Embassy,84,121,Cultural Exchange,62,Deputy Minister,51,12,58.22
2002,North America,Delegation,92,149,Trade Agreement,50,Minister,25,29,19.42
2003,South America,Permanent Mission,92,118,Trade Agreement,42,Ambassador,43,10,43.75
2003,Europe,Embassy,89,112,Political Agreement,47,Ambassador,21,37,37
2008,Europe,Consulate,104,123,Cultural Exchange,45,Minister,37,29,67.26
2007,North America,Embassy,107,118,Cultural Exchange,72,Minister,51,46,81.93
2011,Europe,Delegation,103,159,Cultural Exchange,71,Consul,42,34,46.11
2015,Europe,Embassy,107,137,Security Pact,43,Consul,52,27,52.62
2002,South America,Delegation,109,132,Cultural Exchange,71,Ambassador,35,13,35.82
2004,South America,Consulate,108,152,Trade Agreement,36,Ambassador,61,12,47.28
2007,North America,Permanent Mission,93,159,Security Pact,50,Minister,10,31,8.94
2009,Africa,Consulate,85,150,Political Agreement,70,Consul,57,33,73.21
2012,Asia,Permanent Mission,87,124,Political Agreement,68,Deputy Minister,17,35,23.14
2015,North America,Embassy,105,109,Security Pact,42,Consul,31,37,98.66
2014,Asia,Consulate,106,112,Trade Agreement,77,Minister,20,43,80.94
2009,Africa,Permanent Mission,103,136,Trade Agreement,54,Consul,18,6,85.34
2022,North America,Delegation,94,116,Cultural Exchange,30,Deputy Minister,55,35,72.6
2018,Africa,Consulate,88,144,Trade Agreement,70,Ambassador,41,35,60.54
2018,North America,Delegation,102,154,Cultural Exchange,64,Deputy Minister,23,8,57.97
2019,Asia,Consulate,96,133,Security Pact,23,Minister,56,22,57.68
2001,Asia,Embassy,103,155,Political Agreement,65,Ambassador,47,24,38.89
2006,Africa,Delegation,90,132,Trade Agreement,25,Deputy Minister,47,38,60.57
2023,Europe,Permanent Mission,91,120,Political Agreement,75,Consul,52,36,84.42
