Year,Diplomatic Missions,International Agreements,Foreign Visits by Officials,Foreign Delegations to Ukraine,Trade Agreements Signed
2000,95,122,24,61,8
2001,92,134,24,60,36
2002,97,138,51,69,45
2003,96,132,26,19,15
2004,98,106,57,24,9
2005,103,148,24,61,32
2006,88,128,31,27,45
2007,84,140,78,62,36
2008,99,116,42,21,45
2009,105,108,58,33,37
2010,87,154,62,52,9
2011,95,126,40,35,24
2012,84,113,51,62,28
2013,102,154,76,33,34
2014,94,144,61,40,37
2015,95,115,79,33,11
2016,108,138,53,24,45
2017,106,135,55,53,29
2018,82,143,63,65,48
2019,106,136,51,23,32
2020,100,157,78,38,9
2021,92,146,46,59,30
2022,81,145,79,13,7
2023,95,110,68,67,7
2024,103,156,21,48,25
2000,88,139,28,14,9
2001,90,107,68,33,32
2002,87,102,55,36,44
2003,97,130,71,48,23
2004,101,138,28,68,8
2005,94,100,57,44,8
2006,103,156,23,28,30
2007,105,100,50,44,23
2008,90,159,39,14,7
2009,98,135,50,46,33
2010,87,125,60,63,5
2011,108,121,72,55,25
2012,108,128,51,24,43
2013,100,149,51,51,5
2014,82,153,47,54,25
2015,99,109,24,43,21
2016,105,114,47,18,37
2017,88,132,44,65,40
2018,87,104,66,12,41
2019,97,110,76,10,24
2020,82,128,20,42,23
2021,80,109,55,43,16
2022,81,119,62,38,44
2023,81,128,69,11,37
2024,95,147,36,52,32
2000,103,144,37,41,29
2001,102,134,53,30,36
2002,81,128,25,49,18
2003,96,154,28,24,29
2004,92,111,25,59,39
2005,87,156,62,54,38
2006,102,122,77,32,16
2007,89,136,39,31,21
2008,106,102,74,31,39
2009,98,142,20,69,31
2010,102,103,70,23,27
2011,107,147,21,32,8
2012,91,123,53,42,41
2013,92,142,76,58,24
2014,105,134,27,15,9
2015,102,136,40,66,24
2016,102,145,22,61,15
2017,101,101,67,66,35
2018,82,154,32,31,31
2019,87,158,51,20,14
2020,108,126,66,64,42
2021,103,117,60,21,20
2022,85,102,33,33,28
2023,107,158,44,27,19
